book_index,paragraph_index,similarity_score,recommended_book,recommended_text
70,1001,1.0,Optics in Our Time,"Although we have learned a lot we still lack the full picture. In particular, there is still no unique answer to the long-standing question: âWhat is a photon?â In the present essay we of course do not answer this deep question either but illuminate one important aspect of the photon that on ï¬rst sight looks very strange that is the wave-particle dualism. Indeed, according to the quantum theory of radiation the photon is a wave and a particle at the same time and their respective distinct features manifest themselves in countless phenomena. The double-slit experiment with individual photons is one of them. The ultimate goal of our article is to discuss a rather special double-slit experiment based on two entangled photons which seems to show simultaneously the wave and the particle nature of light. Such a behavior which is strictly forbidden by quantum theory and, in particular, by the principle of complementarity makes the photon even stranger. However, a closer look at the details of the light generation reveals that there is no violation of quantum mechanics, and in the words of G. Stein: â. . .suddenly it doesnât look strange at all.â"
231,1560,0.367,North Sea Region Climate Change Assessment,"1980â2005: c multi-model-mean in the CMIP5 experiment, d difference between multi-model mean and precipitation analyses from the Global Precipitation Climatology Project (Adler et al. 2003). Note the different scales for the respective mean and bias maps (Flato et al 2013: Figs. 9.2 and 9.4, panels (a) and (b). Abridged caption)"
179,141,0.367,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 1: Water Quality, Sediments, Sediment Contaminants, Oil and Gas Seeps, Coastal Habitats, Offshore Plankton and Benthos, and Shellfish","stable or increasing. Large numbers of leatherback sea turtles are captured each year in the Gulf as bycatch in pelagic longline fisheries. Hawksbills are the rarest of the five species of sea turtle that occur in the Gulf of Mexico, and their current abundance is only a fraction of historical levels because millions were killed for tortoiseshell (jewelry, combs, brushes, buttons, etc.) during the past 100 years. Significant threats to hawksbills include destruction of nesting habitat, their dependence on coral reefs (one of the worldâs most endangered ecosystems) for food and shelter, and the continued trade in hawksbill products. Impacts from bycatch in Gulf fisheries to hawksbill sea turtles are minimal. In summary, because sea turtles are difficult to study and since some species have been studied more than others, there are significant gaps in the data available by species, as well as by life stage. However, despite the data gaps and limitations associated with selected data sets"
337,24,0.367,Understanding Society and Natural Resources : Forging New Strands of Integration Across the Social Sciences,"science during environmental crises through two case studies â the Deepwater Horizon oil spill and Hurricane Sandy. Machlis et al. suggest that a research agenda which includes integration efforts needs to be developed for understanding and improving science during crisis. Friedrichs (Chap. 4) makes the case for modified Malthusian theories to ground the study of resource management through science integration. He contends that the main impediment to integration both between various social scientific disciplines and between the social and the physical sciences is a refusal of social scientists to appreciate how deeply the societal sphere is embedded in wider biophysical and social-ecological systems. The chapter begins with a classical Malthusian framework and gradually adds complexity to it, showing how its logical structure is reproduced by simple neo-Malthusian theories that have been developed to account for contemporary global challenges. He demonstrates the potential of more sophisticated neo-Malthusian models and modified Malthusian theories contributing to better science integration. Finucane et al. (Chap. 5) present a conceptual framework for analyzing socialecological models of emerging infectious diseases. Specifically they examine whether risks, and perceptions of risk, associated with highly pathogenic avian influenza (HPAI) caused by the H5N1 virus can be associated with anthropogenic environmental changes produced by urbanization, agricultural change, and natural habitat alterations in the context of Vietnam. To address multi-scale issues within the framework, they draw upon multiple social science theories and methods. Finucane et al. conclude that no single theory or method is sufficient to explain complex phenomena such as emerging infectious disease and the relationships between factors influencing disease outbreaks. Thus, they argue that integrated approaches are the best way to provide an in-depth description and analysis of a complex problem. Esptein et al. (Chap. 6) use the social-ecological systems (SES) framework to study power. They explore the long-standing divide among social scientists regarding power and its effects on the sustainability of social-ecological systems. They argue that there has been little constructive interaction between power-centered and institution-centered approaches. The authors use the SES framework as a tool to confront interdisciplinary puzzles that bridges the gap between social and ecological research. The chapter outlines a systematic approach for integrating diverse conceptualizations of power with the SES framework and then applies this approach to study the relationship between power and social-ecological outcomes. The analysis suggests that the SES framework is a promising tool for social science integration, but also that important questions remain concerning the validity of classifications, measurement, and statistical tests. Manfredo et al. (Chap. 7) conclude Part II by making the case that increased integration of the human individual into dynamic, multi-level models is essential to understanding agency, innovation, and adaptation in social-ecological systems. They use the social-ecological systems framework introduced in the previous chapter as a starting point to examine how conservation science with a focus on the human individual â particularly the tradition of social science research known"
264,64,0.367,Proceedings of The 13Th international Congress On Mathematical Education : Icme-13,"arriving on surf beaches come from more than one storm, and if we add two similar sine functions we get a curve with three peaks. Everyone has their own examplesâICMIâs Klein Project is a multilingual collection of contemporary mathematics written for teachers. It would be nice if the pleasure that we get from mathematics imbued the whole of mathematics education, but we know it does not. Why not? How do we manage to take the pleasure out of mathematics? This question underlies all that follows. Let me now return to Ubiratan DâAmbrosio. It is an honour to be following up Ubiratan DâAmbrosioâs thinking, so let me briefly, and with a broad brush-stroke, go over what he was on about. He questioned inequity within mathematics education in a very fundamental way, and gave us some models for working towards creating a fairer world through a mathematics education that really paid attention to social and cultural issues. Many, many people have worked very strongly in this area, and I do not intend to give a summary of the comprehensive work that has been done. In more recent years, Ubiratan DâAmbrosio started to talk about mathematics as a dorsal spine. I want to highlight this metaphor because it is a very nice way of thinking about what has happened. He sees mathematics as the dorsal spine of civilization, the basis of science and technology (DâAmbrosio, 2007, 2015). The trouble is that you may have a spine and skeleton on which an animal may be built, but that animal sometimes turns into a monster rather than a beautiful creature. This has happened within mathematics, and, I would argue, within mathematics education. DâAmbrosio suggests that our essential goals are responsible creativity and ethical citizenship. What he did was highlight the role of mathematics and mathematics education in achieving both of those goals. In other words, he was pointing us to the wider reasons for our work as mathematicians and mathematics educators. But how? How do we do this? What is it I am supposed to do to engender responsible creativity and ethical citizenship? When I walk up the steps and go into my ofï¬ce, what actions will I take? I can presumably do some things in the way I behave, but how do I help to engender appropriate actions in the students that I teach? How are we to build a beautiful creature and not a monster. I think that DâAmbrosioâs essential message is that we should reinstate cultural processes within mathematics education in order to build beautiful creatures. I wish to think about what other things we might do. To develop a basis for making possible actions more explicit I would like to invoke ecological systems theory, which was developed in the context of child development by Urie Bronfenbrenner in 1979, a couple of years after DâAmbrosio introduced the ethnomathematical approach. The two theories have some overlapping principles (Bronfenbrenner, 1992)."
34,1269,0.366,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 2: Fish Resources, Fisheries, Sea Turtles, Avian Resources, Marine Mammals, Diseases and Mortalities","13.4.12 Global Status and U.S. Population Trends Manatee causes of mortality are listed as a special case in Figure 13.61. Mortalities from speeding watercraft have been the highest overall source of mortality, but there is some indication that with greater education and enforcement, these are on the wane. Cold stress due to periodic shutdown of power plants used as refuges by manatees has also decreased in recent years, due to concerted human action. Many carcasses are too decomposed for accurate assessments of cause of death, and human causes are probably larger than indicated in Figure 13.61 and Table 13.26."
85,193,0.366,Bayesian Methods in the Search for MH370,in the top right. It exhibits spatial variations very similar to the overall variations in the top left. The likelihood function p(y|xfinal ) is the ratio of these two densities and is shown in the lower left. Note that large values can occur in areas of limited
67,198,0.365,UmelÃ¡ inteligencia,"V takÃ½chto grafoch treba inak chÃ¡paÅ¥ pojem rieÅ¡enia problÃ©mu. Cesta zo zaÄiatoÄnÃ©ho uzla do niektorÃ©ho koncovÃ©ho uzla nemÃ´Å¾e byÅ¥ rieÅ¡enÃ­m, pretoÅ¾e ak je Äo len jeden uzol na tejto ceste takÃ½, Å¾e mÃ¡ nasledovnÃ­ky spojenÃ© s nÃ­m hranou A, tak sÃºÄasÅ¥ou rieÅ¡enia musia byÅ¥ vÅ¡etky takÃ© nasledovnÃ­ky. RieÅ¡enÃ­m v A/ALEBO grafe je jeho podgraf a nie cesta. Podgraf rieÅ¡enia pozostÃ¡va zo zaÄiatoÄnÃ©ho uzla a spolu s kaÅ¾dÃ½m uzlom, ktorÃ½ mÃ¡ nasledovnÃ­ky spojenÃ© s nÃ­m hranou typu A, obsahuje aj podgraf obsahujÃºci vÅ¡etky tieto hrany. Listy grafu rieÅ¡enia musia navyÅ¡e zodpovedaÅ¥ elementÃ¡rnym problÃ©mom, o ktorÃ½ch sa vie ako ich rieÅ¡iÅ¥. Napr. jeden moÅ¾nÃ½ podgraf rieÅ¡enia A/ALEBO grafu z Obr. 2.8 obsahuje vÅ¡etky oznaÄenÃ© uzly (za predpokladu, Å¾e elementÃ¡rny PodproblÃ©m 11,"
36,518,0.365,Bats in the Anthropocene : Conservation of Bats in a Changing World,"12.6.6 Stakeholder Engagement and Citizen Science Collaborative conservation is more likely to be sustainable. In communitybased conservation management, stakeholders from a variety of factions within the community are required to work together to implement effective conservation practices. This often creates unlikely partnerships that bridge normal political, socioeconomic and religious divides. For example, former rebels work with local government officials to monitor bats in southern Mindanao, Philippines, a region known for often violent stand-offs between the Philippine government and Islamic separatists (LM Paguntalan pers. comm., SOS 2012). Uniting stakeholders toward"
71,1409,0.365,Advancing Culture of Living with Landslides: Volume 1 ISDR-ICL Sendai Partnerships 2015-2025 (Volume 1.0),"Terraces, traditionally sustained by dry stonewalls, occupy about thirty percent of the territory of Liguria. If constantly maintained, they effectively contribute to slow down the natural slope erosion. When no longer managed, terraces may increase geomorphological risk along the slopes and, consequently, at the bottom of the valley (Brandolini et al. 2012). Bad weather such as flash rain worsen the background hazard causing severe damages and devastation across Italy and weight over the economy of a country that has to faces a large variety of disasters. Italy faces emergency but efforts on prevention are not enough to deal with the problem. Emergency often announced with âstate of alertâ, and results in schools closure to try minimize the number of people on the roads during heavy rain. In addition to damage to infrastructure and housing, bad weather also affects agriculture. According to Coldiretti (Italyâs largest agricultural association) heavy rain, overflown rivers and landslides will cost millions of euros to the agricultural sector due to land and crop damage. Farmland overflown with water, vegetables production and plants cultivation located near rivers registered the worst images. The terraced landscape is very common in the Ligurian region, covering about of the 30% of the territory. Agricultural terraces are sustained by dry stonewalls and reduce the slow down the natural slope erosion, but if no regularly maintained, can worst the risk of landslides and âdetritus flowâ. Since 1970 recurring floods affect Genoa where the Bisagno Stream catchment flows across the eastern part of city center. The most recent and tragic was in October 2014 (Faccini et al. 2016). The 5 Terre peculiarity of little towns cling to sheer hills along a narrow, rugged strip of land between the Maritime Alps, the Apennine Mountains and the Ligurian Sea is results into a heavy geo-hydrological risk. The fragile land conditions turn into instability during unusual meteorological conditions that causes heavy flooding. This happened in October 2011 when the river rushed violently down dislocating and destroying several towns, redeï¬ning the natural architecture of the affected the Vara and Magra Valleys near La Spezia (Piangiamore et al. 2015) (Figs. 2 and 3)."
