file,avg_similarity,coverage,confidence,diversity_variance,diversity_dissimilarity
fasttext_multi_performance_results_179_141.csv,0.9832999999999998,0.73,0.9985077958826468,2.0100000000000036e-06,0.016700000000000013
fasttext_multi_performance_results_231_1560.csv,0.9527000000000001,0.13,0.9944917564305723,2.761000000000005e-05,0.04730000000000004
fasttext_multi_performance_results_264_64.csv,0.9829000000000001,0.4,0.9982741433998433,2.690000000000005e-06,0.017100000000000014
fasttext_multi_performance_results_297_297.csv,0.9341000000000002,0.25,0.9943275860094969,2.9289999999999694e-05,0.06589999999999996
fasttext_multi_performance_results_337_24.csv,0.9888,0.76,0.9992118110940469,5.600000000000009e-07,0.01120000000000001
fasttext_multi_performance_results_34_1269.csv,0.9789999999999999,0.74,0.9987543344889291,1.4000000000000027e-06,0.02100000000000002
fasttext_multi_performance_results_36_518.csv,0.9803999999999998,0.75,0.9987366869146316,1.4400000000000025e-06,0.019600000000000017
fasttext_multi_performance_results_67_198.csv,0.9844000000000002,0.06,0.9991574364692433,6.400000000000012e-07,0.015600000000000013
fasttext_multi_performance_results_70_1001.csv,0.9829999999999999,0.75,0.9987543344889291,1.4000000000000027e-06,0.017000000000000015
fasttext_multi_performance_results_85_193.csv,0.9669999999999999,0.74,0.9989470173877409,1.0000000000000019e-06,0.03300000000000003
