file,avg_similarity,coverage,confidence,diversity_variance,diversity_dissimilarity
bert_multi_performance_results_179_141.csv,0.7501,0.05,0.973211815646578,0.0006818899999999999,0.2499
bert_multi_performance_results_231_1560.csv,0.5729,0.13,0.971019237192297,0.0008016899999999985,0.4271
bert_multi_performance_results_264_64.csv,0.5723,0.17,0.9844343798720054,0.0002250099999999998,0.4277
bert_multi_performance_results_297_297.csv,0.3872,0.13,0.9669053959207122,0.0010543600000000003,0.6127999999999999
bert_multi_performance_results_337_24.csv,0.5225000000000001,0.35,0.9738438364456083,0.0006492499999999997,0.4774999999999999
bert_multi_performance_results_34_1269.csv,0.5054000000000001,0.26,0.9804820845007262,0.0003566400000000006,0.4946
bert_multi_performance_results_36_518.csv,0.5162,0.38,0.9826746778005291,0.0002797600000000005,0.4838
bert_multi_performance_results_67_198.csv,0.6900000000000001,0.07,0.9915347728846464,6.559999999999959e-05,0.31000000000000005
bert_multi_performance_results_70_1001.csv,0.4141,0.09,0.9596552735719522,0.0015906899999999992,0.5858999999999999
bert_multi_performance_results_85_193.csv,0.4391999999999999,0.32,0.9816880169673352,0.0003131600000000002,0.5608
