timestamp,memory_usage
1743018573.1462023,282.8515625
1743018574.14737,283.22265625
1743018575.1488416,283.22265625
1743018576.1503036,283.22265625
1743018577.1518013,283.22265625
1743018578.15329,283.22265625
1743018579.1547632,283.22265625
1743018580.1562743,312.55859375
1743018581.1572921,312.76953125
1743018582.158759,312.828125
1743018583.1602173,312.87109375
1743018584.1612494,312.890625
1743018585.16315,312.890625
1743018586.16456,312.90234375
1743018587.1652553,312.91015625
1743018588.166623,312.9140625
1743018589.1672785,312.9140625
