book_index,paragraph_index,similarity_score,recommended_book,recommended_text
372,1537,0.966,Interferometry and Synthesis in Radio Astronomy : Third Edition (Edition 3),"Fig. 13.1 Vertical profiles of temperature (solid line) and the water vapor (H2 O) (dashed line) and ozone (O3 ) (dotted line) volume-mixing ratios, averaged over northern and southern midlatitudes for the period 2005â2014, compiled from the NASA Program for Modern-Era Retrospective Analysis for Research and Application (MERRA) reanalysis (Rienecker et al. 2011). The averaging captures diurnal and annual variations."
29,136,0.957,"Micro-, Meso- and Macro-Connectomics of the Brain","Fig. 3 Comparison between (a) anatomical tractography, (b) electrical microstimulation (EM), and (c) optical stimulation. Injections of tracer in the frontal eye fields (FEF) of macaque monkey produced labeled cells in the lateral intraparietal area (LIP), the medial superior temporal area (MST), and the superior temporal polysensory area (STP) (Schall et al. 1995). fMRI combined with EM of the FEF resulted in fMRI activations in LIP, MST, and STP [67] (Ekstrom et al. 2008). Monkey optogenetic-fMRI with channel-rhodopsin-transduced neurons in FEF also showed an increase in fMRI signal in LIP, MST, and STP (Gerits et al. 2012). Note the striking correspondence between the in-vivo microstimulation and optogenetic induced fMRI activations and the ex-vivo tractography data. Figure adapted from Gerits and Vanduffel (2013)"
179,782,0.956,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 1: Water Quality, Sediments, Sediment Contaminants, Oil and Gas Seeps, Coastal Habitats, Offshore Plankton and Benthos, and Shellfish","Figure 6.45. Historical shoreline change for sandy beaches from Mobile Pass to Cat Island. Variations in net shoreline change between the mid-1800s and 1970s/1980 are illustrated in the top panel, whereas net shoreline changes between the 1970s/1980s and 2000s are shown in the bottom panel relative to beach nourishment (black line segments) and the direction of net littoral sand transport (white arrows). Shoreline change data from Byrnes et al. (2010) and Byrnes et al. (2013). Beach nourishment data from Miller et al. (2004). Image credits: Microsoft Bing Maps Aerial (main); ArcGIS National Geographic World Map (overview)."
391,228,0.951,Ocean-Atmosphere Interactions of Gases and Particles,"1996; Stubbins et al. 2006a, 2008; Valentine and Zepp 1993; Xie et al. 2005; Zafiriou et al. 2003; Zhang et al. 2006; Ziolkowski and Miller 2007; Zuo and Jones 1995). A biotic source of CO originating from macro-algae was also investigated by different groups (Loewus and Delwiche 1963; Troxler and Dokos 1973), but King (2001) concluded that this source is not a significant fraction of the global oceanic source. Recently, laboratory studies of trace gas emissions by various phytoplankton species have shown that CO is also emitted directly by phytoplankton under photosynthetically available radiation (Gros et al. 2009). Cyanobacteria and diatoms were the largest CO emitters and this source could account for up to 20 % of the CO production in seawater. Finally, another source of oceanic CO is the so-called âdark productionâ which has been reported by several groups (Day and Faloona 2009 and references therein) and which is needed to explain non-zero CO values below the euphotic zone (Kettle 2005). The first detailed measurements of CO in the mixed layer of the oceanic water column in the Pacific Ocean showed that it varies seasonally and regionally with daily means between 0.1 and 4.7 nmol L 1 (Bates et al. 1995). CO showed pronounced diurnal cycles with maxima in the afternoon, in agreement with the photochemical nature of the main source in water. Since then, measurements of CO have been performed only over a few additional areas in the open ocean. Stubbins et al. (2006b) determined values between 0.2 and 2.6 nmol L 1 during an Atlantic Meridional cruise (from 35  S to 54  N). Gros et al. (unpublished data) measured values around 1 nmol L 1 in the Southern Atlantic Ocean, with levels rising to 20 nmol L 1 in a phytoplankton bloom near the Argentinian coast. Xie et al. (2009) conducted measurements in the open waters of the South Eastern Beaufort Sea at two different seasons with mean concentrations of 0.45 and 4.7 nmol L 1 in spring and autumn, respectively. In shelf waters, CO concentrations were also found to be variable but with values in the upper range of those measured in the open ocean. Day and Faloona (2009) found values between 2.7 and 17 nmol L 1 for a Californian upwelling system; Xie et al. (2005) measured values around 1 nmol L 1 in the Beaufort Sea and Gulf Stream and 2â18 nmol L 1 in the coastal NW Atlantic. Yang et al. (2010, 2011) have recently"
285,295,0.951,"Physiology, Psychoacoustics and Cognition in Normal and Impaired Hearing","Fig. 4 a Difference in current level between RPS-C and RPS-A required to obtain the same response amplitude in the IC. b Star symbols: mean polarity effect across guinea-pigs subjects (+/â 1 s.e.). Filled symbols: mean polarity effects obtained at most comfortable loudness for similar pulse shapes in previous human studies using electrodes in the middle of the array. Squares: Macherey et al. 2006; circles: Undurraga et al. 2013; triangles: Carlyon et al. 2013; diamonds: Macherey et al. 2008. Human data were obtained with non-reversed versions of RPS and RPS-IPG, meaning that the short, high-amplitude phase was presented first. The three data points for comparison with TRI correspond to the âTPâ condition of Carlyon et al. 2013 for Advanced Bionics (1st point) and Med-EL (2nd point) subjects and to their âQPâ condition for Cochlear subjects (3rd point). c Example of non-monotonic growth function obtained for RPS in G7. d Difference in current level between each cathodic asymmetric pulse shape and SYM-C needed to obtain the same response amplitude. Star symbols: results of the present study averaged across subjects (+/â 1 s.e.). Filled symbols show corresponding human psychophysical data measured at most comfortable loudness for anodic pulse shapes. Triangles correspond to the TP condition for Advanced Bionics (1st point) and Med-EL (2nd point) subjects"
222,328,0.95,Ecosystem Services For Well-Being in Deltas : integrated Assessment For Policy Analysis,Fig. 11.3 Annual mean temperature and precipitation responses in the 17 regional climate model simulations over the GBM region for 2041â2060 (upper) and 2080â2099 (lower). Filled triangles indicate the three climate projections selected (Caesar et al. 2015âReproduced by permission of The Royal Society of Chemistry)
260,92,0.95,Ranaviruses : Lethal Pathogens of Ectothermic Vertebrates,"Fig. 2 Cladogram depicting the evolutionary relationships among the 11 fully sequenced ranaviruses, based on aligned deduced amino acid (AA) sequences of the concatenated 26 conserved iridovirus genes as defined by Eaton et al. (2007). The dataset contained 13,287 aligned AA positions. Maximum likelihood analysis was conducted in MEGA6 (Tamura et al. 2013). Numbers above each node represent the bootstrap values (1,000 replicates). See Table 1 for taxa abbreviations"
389,43,0.949,Impacts of the Fukushima Nuclear Accident on Fish and Fishing Grounds,"Fig. 2.3 Sampling locations for surface seawater around the anti-cyclonic eddy observed in July 2011. Color of the closed circles indicates concentration of 137Cs in the surface seawater. Gray arrows indicate the estimated temporal mean velocity vectors for the period between June 30 and July 29, 2011 (Modified from Kaeriyama et al. 2013)"
179,772,0.949,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 1: Water Quality, Sediments, Sediment Contaminants, Oil and Gas Seeps, Coastal Habitats, Offshore Plankton and Benthos, and Shellfish",Figure 6.39. Coastal change for T-sheet 1700 (see Figure 6.37) between Horse Island and the Pine Island area documenting submergence of the intertidal zone between 1896 and 1995 (from Raabe et al. 2004).
291,89,0.948,Visualizing Mortality Dynamics in the Lexis Diagram (Volume 44.0),"Fig. 9.1âis well understood: temperature. Cold temperatures constrict the blood vessels and change the composition of the blood; furthermore, low temperatures facilitate the survival of bacteria in droplets and increase the risk for pulmonary infections (Eurowinter Group 1997, 2000; Huynen et al. 2001; Rau 2007)."
103,36,0.947,Solar Particle Radiation Storms Forecasting and Analysis : The Hesperia Horizon 2020 Project and Beyond (Volume 444.0),Fig. 1.10 Source plasma temperature T very recently reported by Reames (2016) is plotted vs. the Ne/O/0.157 (30 MeV/nucleon) value for the large Fe-poor (red) and Fe-rich (blue) events during solar cycle 23. The dashed line is the least-square fitting result for all the collected events as listed in Table 2 of Tan et al. (2017) (Reproduced from Tan et al. 2017)
241,310,0.946,Second Assessment of Climate Change for the Baltic Sea Basin,"Fig. 4.13 Late winter/early spring (FMA) temperature for southeastern Norway (Austlandet) based on ice break-up data from Lake Randsfjorden (1758â1874) and instrumental observations (1875â2011), updated from Nordli et al. (2007). Filter 1 means 10-year moving average series of original data"
