algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,similarity_score,,book_title,recommended_description
,,,,,9962.0,0.315,,Bringing Up BÃÂ©bÃÂ©: One American Mother Discovers the Wisdom of French Parenting,"The secret behind France's astonishingly well-behaved children. When American journalist Pamela Druckerman has a baby in Paris, she doesn't aspire to become a ""French parent."" French parenting isn't a known thing, like French fashion or French cheese. Even French parents themselves insist they aren't doing anything special.Yet, the French children Druckerman knows sleep through the night at two or three months old while those of her American friends take a year or more. French kids eat well-rounded meals that are more likely to include braised leeks than chicken nuggets. And while her American friends spend their visits resolving spats between their kids, her French friends sip coffee while the kids play.Motherhood itself is a whole different experience in France. There's no role model, as there is in America, for the harried new mom with no life of her own. French mothers assume that even good parents aren't at the constant service of their children and that there's no need to feel guilty about this. They have an easy, calm authority with their kids that Druckerman can only envy.Of course, French parenting wouldn't be worth talking about if it produced robotic, joyless children. In fact, French kids are just as boisterous, curious, and creative as Americans. They're just far better behaved and more in command of themselves. While some American toddlers are getting Mandarin tutors and preliteracy training, French kids are- by design-toddling around and discovering the world at their own pace.With a notebook stashed in her diaper bag, Druckerman-a former reporter for The Wall Street Journal-sets out to learn the secrets to raising a society of good little sleepers, gourmet eaters, and reasonably relaxed parents. She discovers that French parents are extremely strict about some things and strikingly permissive about others. And she realizes that to be a different kind of parent, you don't just need a different parenting philosophy. You need a very different view of what a child actually is.While finding her own firm non, Druckerman discovers that children-including her own-are capable of feats she'd never imagined."
,,,,,78.0,0.279,,A Gracious Enemy & After the War Volume One,"Volume One is mainly about the second Indochina war (Vietnam War) and is set during the period from 1770 to 1975. It includes political intrigues in Paris, London, Washington and Canberra. It is told in story form and uses 470 pages to tell the story of Australians involved in Vietnam and how most Aussie combat soldiers did not want to be doing the job they were sent to complete. however, Aussie soldiers did their duties to the best of their abilities. Volume One ends with Richard Nixon's War and the debacle of the Americans quickly leaving after suffering unacceptable numbers of war deaths. (Over 52,000 KIA). Volume Two Has been completed and is available from starts with a recap of Ricard Nixon's War followed by the Vietnamese invasion of Kampuchea after which the Pol Pot Regime fled into the jungle. That is followed by the stories of the Vietnamese ""Boat People"" and their trials and problems of coming to Australia and becoming Aussie citizens and successful business people after many hard times. In both the case of Volume Two, the eBook edition of Volume Two shall be released on the 7th of October 2022.Kind regards - Michael G Kramer OMIEAust."
,,,,,5972.0,0.263,,The Sorrow Of War: A Novel of North Vietnam,"Bao Ninh, a former North Vietnamese soldier, provides a strikingly honest look at how the Vietnam War forever changed his life, his country, and the people who live there. Originally published against government wishes in Vietnam because of its non-heroic, non-ideological tone, The Sorrow of War has won worldwide acclaim and become an international bestseller"
,,,,,5812.0,0.259,,Matterhorn,"A big, powerful saga of men in combat, written over the course of thirty-five years by a highly decorated Vietnam veteran.Intense, powerful, and compelling, Matterhorn is an epic war novel in the tradition of Norman Mailer's The Naked and the Dead and James Jones's The Thin Red Line. It is the timeless story of a young Marine lieutenant, Waino Mellas, and his comrades in Bravo Company, who are dropped into the mountain jungle of Vietnam as boys and forced to fight their way into manhood. Standing in their way are not merely the North Vietnamese but also monsoon rain and mud, leeches and tigers, disease and malnutrition. Almost as daunting, it turns out, are the obstacles they discover between each other: racial tension, competing ambitions, and duplicitous superior officers. But when the company finds itself surrounded and outnumbered by a massive enemy regiment, the Marines are thrust into the raw and all-consuming terror of combat. The experience will change them forever.Written over the course of thirty years by a highly decorated Vietnam veteran, Matterhorn is a visceral and spellbinding novel about what it is like to be a young man at war. It is an unforgettable novel that transforms the tragedy of Vietnam into a powerful and universal story of courage, camaraderie, and sacrifice: a parable not only of the war in Vietnam but of all war, and a testament to the redemptive power of literature.A graduate of Yale University and a Rhodes Scholar at Oxford University, Karl Marlantes served as a Marine in Vietnam, where he was awarded the Navy Cross, the Bronze Star, two Navy Commendation Medals for valor, two Purple Hearts, and ten air medals. This is his first novel. He lives in rural Washington State."
,,,,,9779.0,0.242,,Vietnam - The Teenage Wasteland,"It is common knowledge that 58,000 young men and women died in Vietnam. What is not commonly known is what it was like there for these people who spent the rest of their lives in this for-boding place. And more importantly what did they really die for?Another peculiarity is what happened to all the hipies that the Dept. of Defense sent off to the killing fields - how did they fare? Did they fight or were they just being flower children in a combat zone.Tom Martiniano answers all questions you have ever had about vietnam in this rapid-paced page-turner. Learn the real stories of vietnam in this thrilling tale."
,,,,,7444.0,0.239,,The Sympathizer,"It is April 1975, and Saigon is in chaos. At his villa, a general of the South Vietnamese army is drinking whiskey and, with the help of his trusted captain, drawing up a list of those who will be given passage aboard the last flights out of the country. The general and his compatriots start a new life in Los Angeles, unaware that one among their number, the captain, is secretly observing and reporting on the group to a higher-up in the Viet Cong. The Sympathizer is the story of this captain: a man brought up by an absent French father and a poor Vietnamese mother, a man who went to university in America, but returned to Vietnam to fight for the Communist cause. A gripping spy novel, an astute exploration of extreme politics, and a moving love story, The Sympathizer explores a life between two worlds and examines the legacy of the Vietnam War in literature, film, and the wars we fight today."
,,,,,7033.0,0.234,,HuÃ¡ÂºÂ¿ 1968: A Turning Point of the American War in Vietnam,"In the early hours of January 31, 1968, the North Vietnamese launched over one hundred attacks across South Vietnam in what would become known as the Tet Offensive. The lynchpin of Tet was the capture of Hue, Vietnam?s intellectual and cultural capital, by 10,000 National Liberation Front troops who descended from hidden camps and surged across the city of 140,000. Within hours the entire city was in their hands save for two small military outposts. American commanders refused to believe the size and scope of the Front?s presence, ordering small companies of marines against thousands of entrenched enemy troops. After several futile and deadly days, Lieutenant Colonel Ernie Cheatham would finally come up with a strategy to retake the city, block by block and building by building, in some of the most intense urban combat since World War II.With unprecedented access to war archives in the U.S. and Vietnam and interviews with participants from both sides, Bowden narrates each stage of this crucial battle through multiple viewpoints. Played out over 24 days and ultimately costing 10,000 lives, the Battle of Hue was by far the bloodiest of the entire war. When it ended, the American debate was never again about winning, only about how to leave. Hue 1968 is a gripping and moving account of this pivotal moment."
,,,,,10514.0,0.233,,A Bright Shining Lie: John Paul Vann and America in Vietnam,"This passionate, epic account of the Vietnam War centres on Lt Col John Paul Vann, whose story illuminates America's failures & disillusionment in SE Asia. A field adviser to the army when US involvement was just beginning, he quickly became appalled at the corruption of the S. Vietnamese regime, their incompetence in fighting the Communists & their brutal alienation of their own people. Finding his superiors too blinded by political lies to understand the war was being thrown away, he secretly briefed reporters on what was really happening. One of those reporters was Neil Sheehan.--Amazon (edited) Neil Sheehan was a Vietnam War correspondent for United Press International & the NY Times & won a number of awards for reporting. In 1971 he obtained the Pentagon Papers, which brought the Times the Pulitzer gold medal for meritorious public service. A Bright Shining Lie won the National Book Award & the Pulitzer Prize for Non-Fiction. He lives in Washington DC.MapsThe funeral Going to war Antecedents to a confrontation The Battle of Ap Bac Taking on the system Antecedents to the man A second time aroundJohn Vann staysAcknowledgmentsInterviewsDocumentsSource NotesBibliographyIndexAbout the Author"
,,,,,7072.0,0.229,,Dispatches,"Written on the front lines in Vietnam, Dispatches became an immediate classic of war reportage when it was published in 1977.From its terrifying opening pages to its final eloquent words, Dispatches makes us see, in unforgettable and unflinching detail, the chaos and fervor of the war and the surreal insanity of life in that singular combat zone. Michael HerrÃ¢ÂÂs unsparing, unorthodox retellings of the day-to-day events in Vietnam take on the force of poetry, rendering clarity from one of the most incomprehensible and nightmarish events of our time.Dispatches is among the most blistering and compassionate accounts of war in our literature."
,,,,,10846.0,0.216,,Hearts in Atlantis,"Five interconnected, sequential narratives, set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War.Stephen King, whose first novel, Carrie, was published in 1974, the year before the last U.S. troops withdrew from Vietnam, is the first hugely popular writer of the TV generation. Images from that war -- and the protests against it -- had flooded America's living rooms for a decade. Hearts in Atlantis, King's newest fiction, is composed of five interconnected, sequential narratives, set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War. In Part One, ""Low Men in Yellow Coats,"" eleven-year-old Bobby Garfield discovers a world of predatory malice in his own neighborhood. He also discovers that adults are sometimes not rescuers but at the heart of the terror. In the title story, a bunch of college kids get hooked on a card game, discover the possibility of protest...and confront their own collective heart of darkness, where laughter may be no more than the thinly disguised cry of the beast. In ""Blind Willie"" and ""Why We're in Vietnam,"" two men who grew up with Bobby in suburban Connecticut try to fill the emptiness of the post-Vietnam era in an America which sometimes seems as hollow -- and as haunted -- as their own lives. And in ""Heavenly Shades of Night Are Falling,"" this remarkable book's denouement, Bobby returns to his hometown where one final secret, the hope of redemption, and his heart's desire may await him. Full of danger, full of suspense, most of all full of heart, Stephen King's new book will take some readers to a place they have never been...and others to a place they have never been able to completely leave."
