book_index,paragraph_index,similarity_score,recommended_book,recommended_text
145,230,0.992,"Evolution, Monitoring and Predicting Models of Rockburst : Precursor Information for Rock Failure","where a and b are the unknown constants at a certain monitoring area; Constant a reflect the overall level of MS activity in this area and is viewed as MS activity parameter, which is correlated with the total MS events above the threshold magnitude; Constant b describes the magnitude distribution of MS events, i.e., the relative number of small and large MS events in a certain time. Generally, b value is close to 1."
200,46,0.992,"Earthquakes, Tsunamis and Nuclear Risks","averaged seismicity from active faults. In addition, those areas where the density of the observed seismicity and distribution of active faults are both high show a relatively thin seismogenic layer and complex subsurface structure deduced from the Bouguer gravity anomaly. Thus, we consider that the first principal component might indicate the degree of tectonic activity. The results of the relations between the principal component loadings and four observed parameters of (b) southwestern Honshu and (c) Kyushu in Fig. 2.4 show a similar tendency. Thus, we expect that the spatial distribution of the first principal component loading relates to the seismotectonic provinces and adopted it as a parameter for the following cluster analysis. However, to the contrary, the first principal component loading (F1) in Fig. 2.4d of Hokkaido showing a 33 % proportion indicates that the lower limit of the seismogenic layer and the Bouguer gravity anomaly parameters are large positive values and that the remaining parameters are relatively small. Additionally, the first principal component loadings (F1) in Fig. 2.4e of Kanto indicate a different tendency from the other districts, showing that the first principal component loadings of the observed seismicity and Bouguer gravity anomaly parameters are largely negative. The reason for the different results for the Hokkaido and Kanto districts might relate to the distance between the district and plate boundary axis. The closer distance of the Hokkaido and Kanto districts results in complexity of the deep part of the tectonic structure, such as the depth and the shape of the subducting oceanic plate and the related seismicity and gravity anomaly. Hereafter, cluster analysis is applied to the first principal component scores of northeastern Honshu and southwestern Honshu, respectively, from the viewpoint of the tectonic meaning of intraplate shallow earthquakes and active faults as judged from the principal component loading results (Fig. 2.4). The statistical distances among grids in each district were measured by the group average method, and clusters were calculated in similarity order. The number of clusters is after that of Kakimi et al. [2], and four and six were set for northeastern Honshu and southwestern Honshu, respectively (Fig. 2.5). The result shows that each cluster in both northeastern and southwestern Honshu distributes with strong spatial relation, although no parameter regarding contiguity was involved in the principal component analysis. Thus, the similarity of the first principal component score based on the objective index of statistical distance is considered to have usefulness for considering the spatial correlation of tectonic provinces. Then, the tectonic province boundaries were set at the cluster boundaries between areas of clusters with the same category, as shown in Fig. 2.6a for northeastern Honshu and Fig. 2.6b for southwestern Honshu. The exception was the case of isolated cluster patches consisting of 10 or fewer grids, which were subjectively determined to be ignored or incorporated into a neighboring cluster by the shape and size of each patch. The following describes the distinctive features of our results (Fig. 2.6) and the tectonic province map of Kakimi et al. [2] (Fig. 2.1). Northeastern Honshu was divided into two large seismotectonic provinces by Kakimi et al. [2]. This boundary is located at the eastern foot of the Ou-Backbone Mountain Range and partly overlaps with west-dipping reverse fault systems, such"
311,586,0.991,The Physics of the B Factories,"where R is the radial parameter of the decaying meson and typically takes values between 1 and 5 (GeV) . In this prescription, F is normalized so that F = 1 for qr = qab . While the P - and D-waves of the decay amplitude are usually well described using a certain number of BW or GS propagators, the actual number depending on the speciï¬c decay, the S-wave typically contains a number of broad overlapping states, for which the isobar model gives a poor description. In that case, more complex alternatives have been adopted, which are reviewed in Section 13.2.2. Figure 13.2.1 illustrates how various intermediate twobody states appear in the Dalitz plot. Unlike the uniform distribution of the phase-space decay (Fig. 13.2.1(a)), scalar resonances appear as bands in the Dalitz plot, as shown in Fig. 13.2.1(b-d) for resonances in bc, ac, and ab channels, respectively. Angular distributions for vector and tensor intermediate states introduce characteristic nonuniformity of the event density along the resonance bands (Fig. 13.2.1(e,f)). Finally, the region where the amplitudes of two resonances overlap is sensitive to the phase diï¬erence between the two amplitudes (Fig. 13.2.1(g,h)). 13.2.2 K-matrix formalism The complex S-wave dynamics, which can also include the presence of several broad and overlapping scalar resonances, can alternatively be described through the use of a K-matrix formalism (Chung et al., 1995; Wigner, 1946) with the production vector (P-vector) approximation (Aitchison, 1972). Within this formalism, the production process described by the P-vector can be viewed as the initial formation of several states, which are then propagated by the K-matrix term into the ï¬nal state that is observed. This approach ensures that the two-body scattering matrix respects unitarity, which is not guaranteed in the case of the isobar model. At the B Factories this approach is most commonly used to describe the Ï + Ï â S-wave contribution to the Dalitz-plot amplitude, e.g. in the BABAR analyses (Aubert, 2008l, 2009h; del Amo Sanchez, 2010a,b) and Belle analysis (Abe, 2007b). In such cases the amplitude is given by Au (s) ="
372,1613,0.991,Interferometry and Synthesis in Radio Astronomy : Third Edition (Edition 3),"where din and dout are called the inner and outer scales of turbulence, which may be less than a centimeter and a few kilometers, respectively. The parameter Cn2 characterizes the strength of the turbulence. Note that water vapor, which is the dominant cause of fluctuation in the index of refraction, is poorly mixed in the troposphere and therefore may be only an approximate tracer of the mechanical turbulence. The details of the derivation structure function of phase from the structure function of the index of refraction given in Eq. (13.97) are given in Appendix 13.2. The result is that D+ .d/ for a uniform layer of turbulence of thickness L has several important power-law segments: D+ .d/ & d5=3 ;"
307,287,0.991,Computing Characterizations of Drugs for Ion Channels and Receptors Using Markov Models (Volume 111.0),"which is a discrete version of (8.31) with  D oo C oc C co C cc . The simulation results are shown in Fig. 8.6 and summarized in Table 8.4. We observe that the transmembrane potential V significantly influences the probability density functions. In Table 8.4, we observe that the probability of the LCC being in the open state is highest for V D 0 mV and it is almost zero for V D 40 mV. In the computations, we use Ât D 0:001 ms, Âx D 1:02, 1:23, 1:54 and 1:95 M (the domain size varies with V), and Ây D 9:3 M. Note that the scale of the plots varies (see Fig. 8.6)."
311,812,0.991,The Physics of the B Factories,"The coeï¬cient C(Eâ , pâ X , pX , k) describes the quark decay b â uâÎ½ and can be computed in QCD perturbation theory. The âshape-functionâ F (k) is a non-perturbative function. It describes the momentum distribution of the b quark in the B meson (Bigi, Shifman, Uraltsev, and Vainshtein, 1994; Neubert, 1994a). For p+ X â¼ k â¼ ÎQCD , which includes a large portion of the small mX region, the full non-perturbative shape of F (k) is necessary to obtain an accurate description of the diï¬erential decay rate. On the other hand, in the limit p+ X â« k â¼ ÎQCD , only the ï¬rst few moments of F (k) are needed. Typically, the experimental measurements can lie anywhere between these two kinematic regimes. There are several sources of uncertainties in the theoretical predictions that must be considered. First, there are perturbative uncertainties in the calculation of C due to unknown higher-order corrections. Second, there are parametric uncertainties due to the imprecise knowledge of inputs, in particular the b-quark mass and F (k). The total decay rate scales like m5b , while partial rates restricted to the small mX region typically exhibit an even stronger dependence on mb . The ï¬rst few moments of F (k) are determined by mb and the expectation values of local operators that are constrained by ï¬ts to B â Xc âÎ½ moments. A substantial part of the mb dependence enters indirectly via the ï¬rst moment of F (k). Depending on the kinematic cuts, the shape of F (k) (beyond what is encoded in its ï¬rst few moments) can also have a signiï¬cant inï¬uence on the"
311,1041,0.991,The Physics of the B Factories,"semileptonic branching fractions for neutral and charged B mesons, and Ç«Â± ll are the eï¬ciencies for selecting dilepton events of unmixed and mixed origins. Belle determines the ratio Ç«+ ll : Ç«ll from MC simulation and fixes it in the fit to the data assuming detector eï¬ects that are not simulated correctly equally aï¬ect events with these origins. The Îz distributions are obtained for these distributions by conversion from Ît and convolution with the Îz resolution function. BABAR describes the Ît resolution function for dilepton events as the sum of three Gaussian distributions. The resolution function parameters are free parameters in the fit. Belle determines the signal Îz resolution function from J/Ï decays in data. For these decays the true Îz is equal to zero and the measured Îz distribution, after the contributions of backgrounds are subtracted, yields the Îz resolution function. A comparison between data and MC simulation shows that after convolving the MC Îz distribution of J/Ï decays with a Gaussian of width Ï = (50 Â± 18) Î¼m, the MC distribution agrees with data. The Ît and Îz distributions of background events are determined from MC-simulated events and data control samples. The large background from semileptonic B +B â events has the same resolution function as the signal events. The numbers of selected OS and SS dilepton pairs along with the corresponding mixing asymmetry as a function of Ît from the BABAR analysis are shown in Fig. 17.5.5. Due to the small mixing frequency, OS signal events are much more abundant than SS events. Most of the background events are also OS (for example from B +B â events). Therefore, even a small mistag probability will blur the characteristic features of the SS Ît distribution. This is particularly evident at Ît = 0 where the OS P+ distribution has its maximum and the SS Ît distribution Pâ is zero: the measured Ît distribution of selected SS events does not have a dip at zero. However, the mixing asymmetry"
233,472,0.991,Biodiversity Conservation and Phylogenetic Systematics : Preserving Our Evolutionary Heritage in An Extinction Crisis (Volume 14.0),"(illustrated by the density distributions drawn around the medians in Fig. 4) reveals a very subtle trade-off: The basic core-area Zonation retains species representations more evenly, as it should by definition, whereas the phylogenetic diversity solution loses larger fractions of some speciesâ ranges earlier on in the cell removal process (longer downward tails in the density distributions at lowest 50 % fractions). In other words, with the phylogenetic diversity weighting the protection of some species is traded off against protection of locations with higher phylogenetic diversity. But as this tradeoff is minor and most visible at poorest fractions of the landscape, it is unlikely to be of concern for practical conservation."
285,220,0.991,"Physiology, Psychoacoustics and Cognition in Normal and Impaired Hearing","Fig. 4 Results of the spectral modulation threshold task for the three strategies (SCE0, SCE2 and SCE4) given as just noticeable differences (jnd SMT) in decibels. The lower is the jnd the better is the result"
372,1943,0.991,Interferometry and Synthesis in Radio Astronomy : Third Edition (Edition 3),"in terms of models of the intensity distribution. Techniques for two-dimensional reconstruction without phase data [see, e.g., Bates (1984)] are also applicable. Optical interferometry is an active and growing field, and here we attempt only to give an overview of some basic principles. See Further Reading at the end of this chapter for a collection of important publications in optical interferometry. Before discussing instruments, we briefly review some relevant atmospheric parameters. The irregularities in the atmosphere give rise to random variations in the refractive index over a large range of linear scales. For any particular wavelength, there exists a scale size over which portions of a wavefront remain substantially plane compared with the wavelength, that is, atmospheric phase variations are small compared with 2#. This scale size is represented by a parameter, the Fried length df (Fried 1966); see the discussion following Eq. (13.102). The Fried length is equal to 3:2d0 , where d0 is the spacing between paths through the atmosphere for which the rms phase difference is one radian; see Eq. (13.102). Regions for which the uniformity of the phase path lies within this range are sometimes referred to as seeing cells. The scale size df and the height at which the dominant irregularities occur define an isoplanatic angle (or isoplanatic patch) size, that is, an angular range of the sky within which the incoming wavefronts from different points encounter similar phase shifts. Within an isoplanatic patch, the point-spread function remains"
