algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,similarity_score,,book_title,recommended_description
,,,,,72.0,0.479,,A Gracious Enemy,"The full story of the three Indochina Wars. Including warts and all. The first was the Indochinese People fighting against the French colonists and their suppliers and allies from the USA. The second was the people of Indochina (Cambodia, Laos & Vietnam) fighting against an allied coalition force made up of Australia, New Zealand, South Korea, Thailand, South Vietnam and the USA. The Second Indochina War is usually referred to as the Vietnam War. This book examines the re-adjustment of Vietnamese society after the uprising of the Tay Son Brothers in 1770, their stopping of the Trin and Nguyen families oppression of the Vietnamese people. The coming of the Catholic Church and how this affected the people is examined. As well the activities of Pineau de Bahrain, who was a missionary and the Bishop of Adran - he did much to ensure the French takeover of the majority of South East Asia. That was followed by the French takeover and full colonisation and rule by France. To better control the people, the French forbade the use of Chinese characters in writing and transcribed the entire Vietnamese language into the Latin alphabet, which was then taught in all schools. During WW2, Asian people saw that the Caucasian people could be beaten, That resulted in the First Indochina War, which ended with the French defeat at Dien Bien Phu. The Second Indochina War ended in 1975 with the withdrawal of the last American soldier from Vietnam. The Third Indochina War ended when the Vietnamese Army invaded Kampuchea, resulting in Vietnamese tanks entering its capital while the Pol Pot administration fled into the jungle."
,,,,,10514.0,0.391,,A Bright Shining Lie: John Paul Vann and America in Vietnam,"This passionate, epic account of the Vietnam War centres on Lt Col John Paul Vann, whose story illuminates America's failures & disillusionment in SE Asia. A field adviser to the army when US involvement was just beginning, he quickly became appalled at the corruption of the S. Vietnamese regime, their incompetence in fighting the Communists & their brutal alienation of their own people. Finding his superiors too blinded by political lies to understand the war was being thrown away, he secretly briefed reporters on what was really happening. One of those reporters was Neil Sheehan.--Amazon (edited) Neil Sheehan was a Vietnam War correspondent for United Press International & the NY Times & won a number of awards for reporting. In 1971 he obtained the Pentagon Papers, which brought the Times the Pulitzer gold medal for meritorious public service. A Bright Shining Lie won the National Book Award & the Pulitzer Prize for Non-Fiction. He lives in Washington DC.MapsThe funeral Going to war Antecedents to a confrontation The Battle of Ap Bac Taking on the system Antecedents to the man A second time aroundJohn Vann staysAcknowledgmentsInterviewsDocumentsSource NotesBibliographyIndexAbout the Author"
,,,,,12188.0,0.383,,War Is a Force That Gives Us Meaning,"As a veteran war correspondent, Chris Hedges has survived ambushes in Central America, imprisonment in Sudan, and a beating by Saudi military police. He has seen children murdered for sport in Gaza and petty thugs elevated into war heroes in the Balkans. Hedges, who is also a former divinity student, has seen war at its worst and knows too well that to those who pass through it, war can be exhilarating and even addictive: ""It gives us purpose, meaning, a reason for living.""Drawing on his own experience and on the literature of combat from Homer to Michael Herr, Hedges shows how war seduces not just those on the front lines but entire societies, corrupting politics, destroying culture, and perverting the most basic human desires. Mixing hard-nosed realism with profound moral and philosophical insight, War Is a Force That Gives Us Meaning is a work of terrible power and redemptive clarity whose truths have never been more necessary.Listening Length: 6 hours and 27 minutes"
,,,,,7350.0,0.382,,The Casual Vacancy,"In the idyllic small town of Pagford, a councillor dies and leaves a ""casual vacancy"" - an empty seat on the Parish Council.In the election for his successor that follows, it is clear that behind the pretty surface this is a town at war. Rich at war with poor, wives at war with husbands, teachers at war with pupils... Pagford is not what it first seems."
,,,,,9592.0,0.374,,Iola O,"Iola Boggs escapes a small-minded village and is proud to become a non-combat pilot during World War II. Iola meets Jim Lewis, who never served in the war but contributed in his own way to the war effort. They marry in post-war Philadelphia and raise a family against the backdrop of the paranoid era of McCarthyism. Their differences and a need for fulfillment propels them away from each other. Illicit liaisons and grief bring them life-changing insights."
,,,,,12070.0,0.374,,The Forgotten Soldier,"Forgotten Soldier ÃÂ recounts the horror of World War II on the eastern front, as seen through the eyes of a teenaged German soldier. At first an exciting adventure, young Guy SajerÃ¢ÂÂs war becomes, as the German invasion falters in the icy vastness of the Ukraine, a simple, desperate struggle for survival against cold, hunger, and above all the terrifying Soviet artillery. As a member of the elite Gross Deutschland Division, he fought in all the great battles from Kursk to Kharkov.Sajer's German footsoldierÃ¢ÂÂs perspective makes The Forgotten Soldier a unique war memoir, the book that the Christian Science Monitor said ""may well be the book about World War II which has been so long awaited."" Now it has been handsomely republished containing fifty rare German combat photos of life and death at the eastern front. The photos of troops battling through snow, mud, burned villages, and rubble-strewn cities depict the hardships and destructiveness of war. Many are originally from the private collections of German soldiers and have never been published before. This volume is a deluxe edition of a true classic."
,,,,,1344.0,0.373,,This Book Needs A Title: Volume 2,The second volume of poetry by Theodore Ficklestein.
,,,,,7072.0,0.37,,Dispatches,"Written on the front lines in Vietnam, Dispatches became an immediate classic of war reportage when it was published in 1977.From its terrifying opening pages to its final eloquent words, Dispatches makes us see, in unforgettable and unflinching detail, the chaos and fervor of the war and the surreal insanity of life in that singular combat zone. Michael HerrÃ¢ÂÂs unsparing, unorthodox retellings of the day-to-day events in Vietnam take on the force of poetry, rendering clarity from one of the most incomprehensible and nightmarish events of our time.Dispatches is among the most blistering and compassionate accounts of war in our literature."
,,,,,11572.0,0.362,,Pornography: Men Possessing Women,This volume presents a study of the damaging effect of pornography and its ramifications on society.
,,,,,11680.0,0.361,,"Capital: A Critique of Political Economy, Volume 2","The ""forgotten"" second volume of Capital, Marx's world-shaking analysis of economics, politics, and history, contains the vital discussion of commodity, the cornerstone to Marx's theories."
