timestamp,memory_usage
1743017934.7401552,1221.796875
1743017935.7413352,1227.87890625
1743017936.742827,1227.87890625
1743017937.7443416,1227.87890625
1743017938.7453587,1228.01953125
1743017939.7468174,1228.19921875
1743017940.7482574,1228.19921875
1743017941.753362,1228.19921875
1743017942.7548695,1228.19921875
1743017943.756392,1228.19921875
1743017944.7573004,1228.19921875
1743017945.7588148,1228.19921875
1743017946.7602718,1228.19921875
1743017947.7612913,1228.19921875
1743017948.7627225,1228.19921875
1743017949.764226,1228.19921875
1743017950.7653377,1228.19921875
1743017951.7668557,1228.19921875
1743017952.7680469,1228.19921875
1743017953.7693286,1228.19921875
1743017954.7708402,1228.19921875
1743017955.7723873,1228.19921875
1743017956.7733126,1228.19921875
1743017957.7747781,1228.19921875
1743017958.7763722,1228.19921875
1743017959.7778556,1231.44140625
1743017960.7793148,1231.44140625
1743017961.780784,1231.44140625
1743017962.7813017,1231.44140625
1743017963.7828233,1231.44140625
1743017964.7843215,1231.44140625
1743017965.785825,1231.44140625
1743017966.787311,1231.44140625
1743017967.788813,1231.44140625
1743017968.7893312,1231.44140625
1743017969.790774,1231.44140625
1743017970.7922711,1231.44140625
1743017971.7933161,1231.44140625
1743017972.7947996,1231.44140625
1743017973.796263,1231.44140625
1743017974.7972994,1231.44140625
1743017975.798773,1231.44140625
1743017976.8002596,1231.44140625
1743017977.8013008,1231.44140625
1743017978.802781,1231.44140625
1743017979.8041742,1231.44140625
1743017980.8053389,1231.44140625
1743017981.8068335,1231.44140625
1743017982.807376,1231.44140625
1743017983.8088796,1231.44140625
1743017984.8103716,1231.44140625
1743017985.8118756,1231.44140625
1743017986.813355,1231.44140625
1743017987.8148696,1231.44140625
1743017988.8164148,1231.44140625
1743017989.8173256,1234.73828125
1743017990.8188004,1234.73828125
1743017991.8203533,1234.73828125
1743017992.8213139,1234.73828125
1743017993.8228252,1234.73828125
1743017994.8242755,1234.73828125
1743017995.825277,1234.73828125
1743017996.8267288,1234.73828125
1743017997.8282313,1234.73828125
1743017998.8293154,1234.73828125
1743017999.830797,1237.64453125
1743018000.8322937,1237.64453125
1743018001.8333936,1237.64453125
1743018002.8349166,1237.64453125
1743018003.8364053,1237.64453125
1743018004.8376577,1237.64453125
1743018005.8391392,1237.64453125
1743018006.8406324,1237.64453125
1743018007.8419123,1237.64453125
1743018008.8433912,1237.64453125
